,year,month,day,hour,latitude,longitude,imma_version,attm_count,time_indicator,latlong_indicator,ship_course,ship_speed,national_source_indicator,id_indicator,callsign,country_code,wind_direction_indicator,wind_direction_true,wind_speed_indicator,wind_speed,visibility_indicator,visibility,present_weather,past_weather,sea_level_pressure,characteristic_of_ppp,amt_pressure_tend,indicator_for_temp,air_temperature,wbt_indicator,wetbulb_temperature,dpt_indicator,dewpoint_temperature,sst_measurement_method,sea_surface_temp,total_cloud_amount,lower_cloud_amount,low_cloud_type,cloud_height_indicator,cloud_height,middle_cloud_type,high_cloud_type,wave_direction,wave_period,wave_height,swell_direction,swell_period,swell_height,box_system_indicator,ten_degree_box_number,one_degree_box_number,deck,source_id,platform_type,dup_status,dup_check,track_check,pressure_bias,wave_period_indicator,swell_period_indicator,second_country_code,adaptive_qc_flags,nightday_flag,trimming_flags,ncdc_qc_flags,external,landlocked_flag,source_exclusion_flags,unique_report_id,release_no_primary,release_no_secondary,release_no_tertiary,release_status_indicator,intermediate_reject_flag,timestamp
814,2017,3,16,12.0,13.9,119.9,1,4,0.0,0,8.0,3.0,,1,9VPY5,,0,80.0,4,6.2,,97,3,1,1014.7,1,2.3,0.0,27.5,0,25.0,,24.1,1.0,30.0,6,5.0,7,,3,7,4,,1,1.5,8,1,1.0,,261,39,992,114,5,1,2.0,,,,,,,1,111111,11111111111111,,,,NBPAT6,3,0,1,0,1,2017-03-16 12:00:00+00:00
815,2017,5,12,12.0,35.2,141.5,1,4,0.0,0,4.0,2.0,,1,9VPY5,,0,140.0,4,12.9,,97,2,2,1019.5,3,2.3,0.0,20.0,0,18.0,,16.9,,21.0,6,5.0,7,,2,7,6,,2,2.0,18,2,1.5,,192,51,992,114,5,1,2.0,,,,,,,1,111111,11111111111111,,,,NIY8UB,3,0,1,0,1,2017-05-12 12:00:00+00:00
816,2017,5,17,18.0,10.9,150.1,1,4,0.0,0,4.0,3.0,,1,9VPY5,,0,90.0,4,9.3,,97,2,1,1011.9,7,0.8,0.0,27.0,0,25.0,,24.3,3.0,31.0,5,5.0,3,,6,6,8,,2,2.0,9,2,1.5,,265,0,992,114,5,1,2.0,,,,,,,1,111111,11111111111111,,,,NJMC72,3,0,1,0,1,2017-05-17 18:00:00+00:00
817,2017,6,4,18.0,-31.0,153.3,1,4,0.0,0,8.0,3.0,,1,9VPY5,,0,230.0,4,6.2,,97,3,0,1023.6,3,1.0,0.0,17.0,0,16.0,,15.4,3.0,23.0,6,5.0,4,,5,6,6,,2,1.5,23,2,1.0,,445,13,992,114,5,1,2.0,,,,,,,1,111111,11111111111111,,,,NLY1S4,3,0,1,0,1,2017-06-04 18:00:00+00:00
818,2017,7,22,6.0,28.7,138.4,1,4,0.0,0,4.0,3.0,,1,9VPY5,,0,170.0,4,8.2,,97,2,1,1011.6,6,1.5,0.0,28.0,0,25.0,,23.9,3.0,31.0,4,3.0,2,,4,6,8,,2,1.5,17,2,1.0,,227,88,992,114,5,1,2.0,,,,,,,2,111111,11111111111111,,,,NS2SFK,3,0,1,0,1,2017-07-22 06:00:00+00:00
819,2017,7,15,0.0,33.7,136.9,1,4,0.0,0,4.0,1.0,,1,9VPY5,,0,180.0,4,2.6,,97,2,0,1016.5,1,0.9,0.0,27.5,0,27.0,,26.8,3.0,31.0,4,3.0,2,,1,1,7,,2,1.0,18,2,0.5,,191,36,992,114,5,1,2.0,,,,,,,2,111111,11111111111111,,,,NR5CHV,3,0,1,0,1,2017-07-15 00:00:00+00:00
820,2017,7,10,0.0,15.5,119.7,1,4,0.0,0,8.0,3.0,,1,9VPY5,,0,180.0,4,3.6,,97,2,2,1013.3,1,1.9,0.0,31.0,0,28.5,,27.7,3.0,33.0,6,5.0,3,,6,4,8,,2,1.0,9,2,0.5,,261,59,992,114,5,1,2.0,,,,,,,2,511111,11111111111111,,,,NQIE5R,3,0,1,0,1,2017-07-10 00:00:00+00:00
821,2017,7,1,12.0,14.0,129.1,1,4,0.0,0,4.0,3.0,,1,9VPY5,,0,140.0,4,4.1,,97,2,2,1010.8,3,1.4,0.0,29.8,0,27.5,,26.8,3.0,33.0,7,6.0,8,,5,7,8,,2,1.5,14,1,1.0,,262,49,992,114,5,1,2.0,,,,,,,1,511111,11111111111111,,,,NPF74A,3,0,1,0,1,2017-07-01 12:00:00+00:00
822,2017,1,20,0.0,-9.6,151.5,1,4,0.0,0,4.0,3.0,,1,9VPY5,,0,230.0,4,5.1,,97,3,0,1010.0,7,0.2,0.0,30.0,0,29.5,,29.4,1.0,32.0,6,5.0,7,,3,6,2,,1,1.0,23,1,0.5,,337,91,992,114,5,1,2.0,,,,,,,2,311113,11111111111111,,,,N4P171,3,0,1,0,1,2017-01-20 00:00:00+00:00
823,2017,3,27,12.0,28.9,133.4,1,4,0.0,0,4.0,3.0,,1,9VPY5,,0,290.0,4,14.9,,97,3,1,1023.0,3,2.0,0.0,16.5,0,14.0,,12.3,1.0,23.0,6,5.0,3,,5,7,3,,2,3.0,27,2,2.5,,227,83,992,114,5,1,2.0,,,,,,,1,111111,11111111111111,,,,ND39JK,3,0,1,0,1,2017-03-27 12:00:00+00:00
